UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,TWF,HDF,PWF,OSF,RNF,temp_diff,power_W,wear_torque,temp_per_rpm,high_wear,product_type_enc
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,6951.590560157351,0.0,0.19884020618556703,0,1
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,6826.722724152667,138.89999999999998,0.2190915542938254,0,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,7749.387542560967,247.0,0.20580386924616412,0,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,5927.504658915661,276.5,0.21520223152022316,0,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,5897.816608339237,360.0,0.2190915542938254,0,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,6252.554778807084,460.9,0.21640953716690042,0,1
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,6917.703247400629,593.6,0.1979474021808852,0,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,6428.264055922363,643.2,0.20196335078534033,0,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,4992.639989035923,514.8000000000001,0.18507194244604316,0,1
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,5104.878622573175,588.0,0.17738231917336394,0,1
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,4459.993426595285,573.5999999999999,0.17324733595064495,0,2
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,6601.41817101272,1284.6999999999998,0.21706460674157305,0,2
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,7165.22933257697,1737.4,0.2306716417910448,0,1
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,5472.6544025534195,1110.0,0.17739529546758462,0,1
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,4176.85215270275,784.0,0.1518664047151277,0,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,7815.528539894543,2032.8,0.20038885288399222,0,0
